timestamp,curIn,curOut,amount,txid
1511766439.72,ETH,EOS,9.67234568,470132
1509193968.04,BTC,XMR,0.7,
1511755374.7,SALT,ETH,271.56034865,583846
1511856463.02,ETH,ETC,0.0219007,375370
1510313619.99,DASH,BCH,0.19490774,
1507238831.65,BAT,GNO,3257.6040943
1511811190.92,ETH,DOGE,0.1,637916
1509831601.19,LTC,VTC,3.54699515,
1511798048.87,ETH,OMG,9.5,748805
1511862940.17,EOS,GNO,10.2739726,527590
1511926236.39,ETH,ETC,0.99916,387453
1512112159.28,OMG,DASH,517,366163
1512107157.1,ETH,BTC,7.28529956,885441
1511767362.95,ETH,ZEC,0.192748789,812131
1511951517.66,ETH,EOS,0.00639,252000
1511488893.88,DASH,BCH,1.452,
1511746139.4,ETH,XMR,9.9013,606572
1507855855.53,ETH,OMG,0.54649343,
1508767299.25,ETH,SALT,7.34799567,
1509970833.9,BTC,XMR,0.03,
1511576795.8,ETH,LTC,0.34474682,843929
1512223471.29,DASH,BTC,1.82989047,388240
1511951949.89,ETH,LTC,0.37918111,675863
1509611627.33,ETH,BTC,0.83902376,
1508514218.01,ETH,LTC,15.28910217,
1512228761.88,ETH,BTC,0.06733483,343640
1510124857.26,ETH,BTC,0.6691,
1511780558.26,DGB,BTC,4729.72972973,482032
1512145905.6,ETH,BCH,0.148721,14740
1511965239.5,DGB,ETH,758.8090084,828900
1511669220.07,CVC,DASH,615.97317479,85670
1511750518.73,ETH,BTC,0.206347,456951
1508534108.5,DASH,BTC,0.22501657,
1512258226.48,ETH,OMG,4,318659
1511949851.17,ETH,EOS,0.08,10796
1511882759.32,BTC,XMR,0.0175277,384755
1512160467.51,LTC,ETC,2.81765737,73373
1507835157.74,BCH,BTC,0.31170646,
1509592712.16,BTC,OMG,0.69798231,
1511793510.13,BTC,DASH,0.07,301468
1507836678.5,LTC,DOGE,19.19000803,
1511583701.48,DASH,OMG,0.099887,984882
1511763923.63,ETH,OMG,0.55998368,207677
1512127283.14,DASH,VTC,0.055,157521
1508521212.69,ETH,OMG,1.5,
1512150920.89,LTC,DASH,1.98324712,887990
1512039660.75,BTC,OMG,0.005,241837
1512105332.46,ETH,BTC,0.5009,26889
1511858038.93,ETH,FUN,0.053860905,561803
1512136307.71,ANT,ETH,1.77297808,113354
1512097827.33,ETH,BTC,1,126827
1511757826.97,ETH,BTC,1.5,666189
1512057897.35,OMG,BTC,541.15895769,676421
1512010017.17,ETH,CVC,0.02017246,745849
1511760615.25,ETH,GNT,2.8285,227538
1512019669.72,XMR,ETH,25,622693
1510477932.86,ETH,SALT,0.05743668,
1512017014.99,LTC,DASH,1,577158
1512091156.79,OMG,ETH,620,393955
1511978307.34,LTC,ETH,0.52611134,874104
1510918773.38,EOS,DASH,12.16,
1511805542.28,DASH,DCR,0.08672344,880314
1508370771.77,EOS,ETH,3.79651275,
1511835652.68,ETC,BTC,170,619304
1512070038.52,FUN,BTC,4122.08241315,996781
1510185283.41,ETH,CVC,0.0322159759025,
1511851103.86,ETH,BCH,10.03527783,240081
1511858160.82,ETH,1ST,0.19601,735877
1511835034.58,ETH,OMG,0.12708285,182543
1510983504.69,SALT,BTC,180,
1508110600.24,BTC,LTC,0.05805192,
1507741580.58,ETH,BTC,15.801352736,
1511744302.85,ETH,REP,0.299072,13556
1508880175.64,ETH,BTC,16.6,
1512250910.32,BAT,ETH,253.35085729,854378
1511962620.58,XRP,DGB,29.992442,807211
1511198996.83,LTC,SALT,3.997853,
1510464326.92,ETH,BCH,0.83501006,
1509467139.81,BTC,DASH,0.5,
1511924356.78,EOS,ETH,110.71428571,531926
1512123451.12,XRP,ZEC,79.87999,593290
1511801300.16,BTC,ETC,0.01067202,756213
1507303782.72,BAT,GNT,12.19356934,
1512113306.77,LTC,ETH,0.5,269158
1511495521.38,OMG,CVC,10,
1511909679.43,ETH,DASH,0.19965227,274655
1512101595.43,ETH,SALT,0.16,213516
1512047534.28,EOS,BTC,8.8,80236
1511794428.71,BTC,DOGE,0.00010322,488553
1510949544.74,EOS,DASH,140,
1510308315.86,BTC,OMG,0.01427812,
1511742573.9,ETH,SC,0.30793599,95920
1509636919.85,ETH,BTC,12.35600596,
1511798712.56,ZEC,LTC,2.89787603,105621
1511918999.21,ETH,EOS,0.3,198305
1512177461.62,ETH,SALT,2.38,274404
1511758595.17,DASH,VTC,1.9848437,535182
1511457719.77,LTC,ETH,61.94804738,
1512144170.81,ETH,SALT,0.47182525,635137
1512161862.51,ETH,BTC,2.32831615,615865
1512056907.95,DOGE,DGB,696.42652261,650808
1512099599.16,ETH,BTC,0.99829954,947876
1511742863.75,BTC,ETH,0.00689687,716728
1512254660.66,ETH,BTC,0.6,603968
1512156259.64,ETH,XEM,0.012,965596
1512170840.77,BLK,BCH,29.9798,874160
1511873690.41,DOGE,LTC,2900,229028
1510632762.84,BCH,BAT,0.18729257,
1509830359.06,LTC,BTC,24.14212738,
1511792458.33,ETH,BTC,1,757033
1507228740.86,DASH,BTC,0.06607638,
1510237963.93,BTC,CVC,0.00438556,
1509675890.75,ETH,BTC,5.23329736,
1511748538.04,ETH,ZEC,0.2,405453
1511914120.36,ETH,LTC,0.007,221983
1509357079.86,BTC,ETH,0.02515178,
1511014185.21,VTC,BTC,20.80537946,
1510450190.4,ETH,BCH,16,
1511883215.39,EOS,ETC,3.44827586,273680
1512009768.94,LTC,DASH,0.11288728,434489
1511803781.35,BAT,LTC,507.84089268,696403
1511493416.66,BTC,ETH,0.10323744,
1509820307.13,ETH,BTC,0.0840552563802,
1511803339.68,LTC,CVC,1.3,256162
1511426615.25,LTC,DASH,1.02686424,
1512152728.95,BTC,SALT,0.00572822,320656
1510100203.27,LTC,BTC,0.93973501,
1512154404.97,DASH,BTC,0.1382,679315
1512218960.31,ETH,DOGE,0.290463616294,222652
1512076189.8,BTC,BCH,0.00236416,617835
1512169228.29,DOGE,LTC,1494.14694656,383120
1507973699.31,LTC,SALT,27.92122698,
1509926390.95,ETH,BTC,0.52,
1512055238.03,ETH,CVC,0.0604961959213,438618
1511792618.1,ETH,ETC,0.101888383434,714230
